fullName,Number,birthDate,currentAge,City,StateProvvince,birthCountry,height,weight,active,alternateCaptain,captain,rookie,rosterStatus,Team,Position,Long,Lat
Ryan Pulock,6,1994-10-06,28,Dauphin,MB,CAN,"6' 2""",216,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Defenseman,-100.0499383,51.1496809
Ross Johnston,32,1994-02-18,29,Charlottetown,PE,CAN,"6' 5""",230,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Left Wing,-63.13107040000000,46.23824
Ilya Sorokin,30,1995-08-04,27,Mezhdurechensk,,RUS,"6' 3""",195,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Goalie,88.0558683,53.6933951
Mathew Barzal,13,1997-05-26,26,Coquitlam,BC,CAN,"6' 1""",190,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Center,-122.7932065,49.2837626
Sebastian Aho,25,1996-02-17,27,Umea,,SWE,"5' 10""",186,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Defenseman,20.2630354,63.8258471
Jakub Skarek,1,1999-11-10,23,Jihlava,,CZE,"6' 3""",205,TRUE,FALSE,FALSE,TRUE,Y,New York Islanders,Goalie,15.5870415,49.3983782
Noah Dobson,8,2000-01-07,23,Summerside,PE,CAN,"6' 4""",194,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Defenseman,-63.79023310000000,46.39337770000000
Alexander Romanov,28,2000-01-06,23,Moscow,,RUS,"6' 1""",215,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Defenseman,37.6173,55.755826
Samuel Bolduc,4,2000-12-09,22,Laval,QC,CAN,"6' 4""",220,TRUE,FALSE,FALSE,TRUE,Y,New York Islanders,Defenseman,-73.712409,45.6066487
Simon Holmstrom,10,2001-05-24,22,Tranas,,SWE,"6' 2""",205,TRUE,FALSE,FALSE,TRUE,Y,New York Islanders,Right Wing,14.975696,58.035518
Chris Kreider,20,1991-04-30,32,Boxford,MA,USA,"6' 3""",230,TRUE,TRUE,FALSE,FALSE,Y,New York Rangers,Left Wing,-70.996726,42.6611604
Vincent Trocheck,16,1993-07-11,29,Pittsburgh,PA,USA,"5' 11""",184,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Center,-79.9958864,40.44062480000000
Mika Zibanejad,93,1993-04-18,30,Stockholm,,SWE,"6' 2""",202,TRUE,TRUE,FALSE,FALSE,Y,New York Rangers,Center,18.0685808,59.32932350000000
Barclay Goodrow,21,1993-02-26,30,Toronto,ON,CAN,"6' 2""",204,TRUE,TRUE,FALSE,FALSE,Y,New York Rangers,Center,-79.3831843,43.653226
Jacob Trouba,8,1994-02-26,29,Rochester,MI,USA,"6' 3""",203,TRUE,FALSE,TRUE,FALSE,Y,New York Rangers,Defenseman,-83.1338214,42.680588
Jimmy Vesey,26,1993-05-26,30,Boston,MA,USA,"6' 3""",202,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Left Wing,-71.0588801,42.3600825
Ben Harpur,5,1995-01-12,28,Hamilton,ON,CAN,"6' 6""",231,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Defenseman,-79.8711024,43.2557206
Igor Shesterkin,31,1995-12-30,27,Moscow,,RUS,"6' 1""",189,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Goalie,37.6173,55.755826
Artemi Panarin,10,1991-10-30,31,Korkino,,RUS,"6' 0""",173,TRUE,TRUE,FALSE,FALSE,Y,New York Rangers,Left Wing,61.3999489,54.8983671
Adam Fox,23,1998-02-17,25,Jericho,NY,USA,"5' 11""",182,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Defenseman,-73.5398476,40.79204410000000
Ryan Lindgren,55,1998-02-11,25,Burnsville,MN,USA,"6' 0""",190,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Defenseman,-93.27772260000000,44.7677424
Filip Chytil,72,1999-09-05,23,Kromeriz,,CZE,"6' 2""",204,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Center,17.3993799,49.2916582
K'Andre Miller,79,2000-01-21,23,St. Paul,MN,USA,"6' 5""",215,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Defenseman,-93.0899578,44.9537029
Kaapo Kakko,24,2001-02-13,22,Turku,,FIN,"6' 2""",206,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Right Wing,22.2666303,60.4518126
Braden Schneider,4,2001-09-20,21,Prince Albert,SK,CAN,"6' 3""",208,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Defenseman,-105.7530705,53.2033494
Alexis Lafrenière,13,2001-10-11,21,St-Eustache,QC,CAN,"6' 1""",195,TRUE,FALSE,FALSE,FALSE,Y,New York Rangers,Left Wing,-73.89607520000000,45.5585489
Cam Atkinson,89,1989-06-05,34,Riverside,CT,USA,"5' 8""",176,TRUE,FALSE,FALSE,FALSE,I,Philadelphia Flyers,Right Wing,-73.5784843,41.0337666
Ryan Ellis,94,1991-01-03,32,Hamilton,ON,CAN,"5' 10""",180,TRUE,FALSE,FALSE,FALSE,I,Philadelphia Flyers,Defenseman,-79.8711024,43.2557206
Sean Couturier,14,1992-12-07,30,Phoenix,AZ,USA,"6' 3""",211,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Center,-112.0740373,33.4483771
Nicolas Deslauriers,44,1991-02-22,32,LaSalle,QC,CAN,"6' 1""",220,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Left Wing,-73.6348608,45.4306303
Nick Seeler,24,1993-06-03,30,Eden Prairie,MN,USA,"6' 2""",201,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Defenseman,-93.47078600000000,44.8546856
Scott Laughton,21,1994-05-30,29,Oakville,ON,CAN,"6' 1""",190,TRUE,TRUE,FALSE,FALSE,Y,Philadelphia Flyers,Center,-79.6876659,43.467517
Cal Petersen,40,1994-10-19,28,Waterloo,IA,USA,"6' 2""",185,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Goalie,-92.34257750000000,42.492786
Rasmus Ristolainen,55,1994-10-27,28,Turku,,FIN,"6' 4""",221,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Defenseman,22.2666303,60.4518126
Travis Sanheim,6,1996-03-29,27,Elkhorn,MB,CAN,"6' 3""",181,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Defenseman,-101.2408402,49.9753646
Tony DeAngelo,77,1995-10-24,27,Sewell,NJ,USA,"5' 11""",180,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Defenseman,-75.1441926,39.7662167
Felix Sandstrom,32,1997-01-12,26,Gavle,,SWE,"6' 2""",191,TRUE,FALSE,FALSE,TRUE,Y,Philadelphia Flyers,Goalie,17.1412726,60.6748796
Travis Konecny,11,1997-03-11,26,London,ON,CAN,"5' 10""",175,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Right Wing,-81.2452768,42.9849233
Wade Allison,57,1997-10-14,25,Carman,MB,CAN,"6' 2""",205,TRUE,FALSE,FALSE,TRUE,Y,Philadelphia Flyers,Right Wing,-98.00162940000000,49.5025602
Carter Hart,79,1998-08-13,24,Sherwood Park,AB,CAN,"6' 2""",181,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Goalie,-113.2957634,53.5412755
Tanner Laczynski,58,1997-06-01,26,Minooka,IL,USA,"6' 1""",190,TRUE,FALSE,FALSE,TRUE,Y,Philadelphia Flyers,Center,-88.2617305,41.4553084
Owen Tippett,74,1999-02-16,24,Peterborough,ON,CAN,"6' 1""",207,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Right Wing,-78.3199606,44.3047061
Morgan Frost,48,1999-05-14,24,Aurora,ON,CAN,"5' 11""",170,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Center,0.0,0.0
Noah Cates,49,1999-02-05,24,Stillwater,MN,USA,"6' 1""",165,TRUE,FALSE,FALSE,TRUE,Y,Philadelphia Flyers,Left Wing,-92.80884430000000,45.056004
Sean Walker,26,1994-11-13,28,Keswick,ON,CAN,"5' 11""",195,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Defenseman,-3.134706,54.601276
Joel Farabee,86,2000-02-25,23,Syracuse,NY,USA,"6' 0""",183,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Left Wing,-76.14742440000000,43.0481221
Cam York,45,2001-01-05,22,Anaheim,CA,USA,"5' 11""",175,TRUE,FALSE,FALSE,FALSE,Y,Philadelphia Flyers,Defenseman,-117.9143012,33.8365932
Jeff Carter,77,1985-01-01,38,London,ON,CAN,"6' 3""",219,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Center,-81.2452768,42.9849233
Evgeni Malkin,71,1986-07-31,36,Magnitogorsk,,RUS,"6' 3""",195,TRUE,TRUE,FALSE,FALSE,Y,Pittsburgh Penguins,Center,59.06230670000000,53.3927214
Sidney Crosby,87,1987-08-07,35,Cole Harbour,NS,CAN,"5' 11""",200,TRUE,FALSE,TRUE,FALSE,Y,Pittsburgh Penguins,Center,-63.47825030000000,44.6726512
Kris Letang,58,1987-04-24,36,Montréal,QC,CAN,"6' 0""",201,TRUE,TRUE,FALSE,FALSE,Y,Pittsburgh Penguins,Defenseman,-73.56739190000000,45.5018869
Jeff Petry,26,1987-12-09,35,Ann Arbor,MI,USA,"6' 3""",209,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Defenseman,-83.7430378,42.2808256
Reilly Smith,19,1991-04-01,32,Mimico,ON,CAN,"6' 1""",185,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Right Wing,-79.5111199,43.61832770000000
Mikael Granlund,64,1992-02-26,31,Oulu,,FIN,"5' 10""",185,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Center,25.4650773,65.0120888
Bryan Rust,17,1992-05-11,31,Pontiac,MI,USA,"5' 11""",192,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Right Wing,-83.29104680000000,42.6389216
Rickard Rakell,67,1993-05-05,30,Sundbyberg,,SWE,"6' 1""",195,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Right Wing,17.9631555,59.3741861
Chad Ruhwedel,2,1990-05-07,33,San Diego,CA,USA,"5' 11""",191,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Defenseman,-117.1610838,32.715738
Jake Guentzel,59,1994-10-06,28,Omaha,NE,USA,"5' 11""",180,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Left Wing,-95.9345034,41.2565369
Marcus Pettersson,28,1996-05-08,27,Skelleftea,,SWE,"6' 3""",177,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Defenseman,20.950917,64.750244
Casey DeSmith,1,1991-08-13,31,Rochester,NH,USA,"6' 0""",181,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Goalie,-70.97561860000000,43.304526
Alex Nylander,19,1998-03-02,25,Calgary,AB,CAN,"6' 1""",192,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Left Wing,-114.0718831,51.04473310000000
Pierre-Olivier Joseph,73,1999-07-01,24,Laval,QC,CAN,"6' 2""",185,TRUE,FALSE,FALSE,TRUE,Y,Pittsburgh Penguins,Defenseman,-73.712409,45.6066487
Jan Rutta,44,1990-07-29,32,Pisek,,CZE,"6' 3""",204,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Defenseman,14.158029,49.303454
Drew O'Connor,10,1998-06-09,25,Chatham,NJ,USA,"6' 3""",200,TRUE,FALSE,FALSE,FALSE,Y,Pittsburgh Penguins,Left Wing,-74.3837624,40.740934
Brad Marchand,63,1988-05-11,35,Halifax,NS,CAN,"5' 9""",176,TRUE,TRUE,FALSE,FALSE,Y,Boston Bruins,Left Wing,-63.1005273,44.8857087
Charlie Coyle,13,1992-03-02,31,East Weymouth,MA,USA,"6' 3""",223,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Center,-70.94103560000000,42.2180724
Derek Forbort,28,1992-03-04,31,Duluth,MN,USA,"6' 4""",208,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Defenseman,-92.1004852,46.78667190000000
Hampus Lindholm,27,1994-01-20,29,Helsingborg,,SWE,"6' 4""",215,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Defenseman,12.6945121,56.0464674
Matt Grzelcyk,48,1994-01-05,29,Charlestown,MA,USA,"5' 10""",176,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Defenseman,-71.0615977,42.37865560000000
Linus Ullmark,35,1993-07-31,29,Lugnvik,,SWE,"6' 5""",212,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Goalie,17.9113077,62.9294269
David Pastrnak,88,1996-05-25,27,Havirov,,CZE,"6' 1""",195,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Right Wing,18.4306254,49.7803923
Pavel Zacha,18,1997-04-06,26,Brno,,CZE,"6' 4""",199,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Center,16.6068371,49.1950602
Jakub Zboril,67,1997-02-21,26,Brno,,CZE,"6' 1""",201,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Defenseman,16.6068371,49.1950602
A.J. Greer,10,1996-12-14,26,Joliette,QC,CAN,"6' 3""",208,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Left Wing,-73.41779610000000,46.014012
Brandon Carlo,25,1996-11-26,26,Colorado Springs,CO,USA,"6' 6""",218,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Defenseman,-104.8213634,38.8338816
Jake DeBrusk,74,1996-10-17,26,Edmonton,AB,CAN,"6' 0""",197,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Left Wing,-113.4937266,53.5460983
Charlie McAvoy,73,1997-12-21,25,Long Beach,NY,USA,"6' 1""",209,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Defenseman,-73.65790800000000,40.5884373
Trent Frederic,11,1998-02-11,25,St. Louis,MO,USA,"6' 3""",214,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Center,-90.19940420000000,38.6270025
Ian Mitchell,51,1999-01-18,24,St. Albert,AB,CAN,"5' 11""",193,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Defenseman,-113.6292701,53.6539037
Jeremy Swayman,1,1998-11-24,24,Anchorage,AK,USA,"6' 2""",194,TRUE,FALSE,FALSE,FALSE,Y,Boston Bruins,Goalie,-149.8996785,61.2175758
Kyle Okposo,21,1988-04-16,35,St. Paul,MN,USA,"6' 0""",218,TRUE,FALSE,TRUE,FALSE,Y,Buffalo Sabres,Right Wing,-93.0899578,44.9537029
Jeff Skinner,53,1992-05-16,31,Toronto,ON,CAN,"5' 11""",197,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Left Wing,-79.3831843,43.653226
Zemgus Girgensons,28,1994-01-05,29,Riga,,LVA,"6' 2""",200,TRUE,TRUE,FALSE,FALSE,Y,Buffalo Sabres,Left Wing,24.1056221,56.9676941
Eric Comrie,31,1995-07-06,27,Edmonton,AB,CAN,"6' 1""",183,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Goalie,-113.4937266,53.5460983
Alex Tuch,89,1996-05-10,27,Syracuse,NY,USA,"6' 4""",219,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Right Wing,-76.14742440000000,43.0481221
Victor Olofsson,71,1995-07-18,27,Ornskoldsvik,,SWE,"5' 11""",181,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Left Wing,18.7166166,63.29004740000000
Jordan Greenway,12,1997-02-16,26,Canton,NY,USA,"6' 6""",231,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Left Wing,-75.1690942,44.5956163
Riley Stillman,61,1998-03-09,25,Peterborough,ON,CAN,"6' 1""",196,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Defenseman,-78.3199606,44.3047061
Tage Thompson,72,1997-10-30,25,Phoenix,AZ,USA,"6' 6""",220,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Center,-112.0740373,33.4483771
Casey Mittelstadt,37,1998-11-22,24,Eden Prairie,MN,USA,"6' 1""",195,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Center,-93.47078600000000,44.8546856
Henri Jokiharju,10,1999-06-17,24,Oulu,,FIN,"6' 0""",200,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Defenseman,25.4650773,65.0120888
Ukko-Pekka Luukkonen,1,1999-03-09,24,Espoo,,FIN,"6' 5""",217,TRUE,FALSE,FALSE,TRUE,Y,Buffalo Sabres,Goalie,24.6559001,60.2054911
Jacob Bryson,78,1997-11-18,25,London,ON,CAN,"5' 9""",176,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Defenseman,-81.2452768,42.9849233
Mattias Samuelsson,23,2000-03-14,23,Philadelphia,PA,USA,"6' 4""",231,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Defenseman,-75.1652215,39.9525839
Rasmus Dahlin,26,2000-04-13,23,Lidkoping,,SWE,"6' 3""",202,TRUE,TRUE,FALSE,FALSE,Y,Buffalo Sabres,Defenseman,13.1570768,58.5035047
Ilya Lyubushkin,46,1994-04-06,29,Moscow,,RUS,"6' 2""",200,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Defenseman,37.6173,55.755826
Peyton Krebs,19,2001-01-26,22,Calgary,AB,CAN,"6' 0""",187,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Center,-114.0718831,51.04473310000000
Dylan Cozens,24,2001-02-09,22,Whitehorse,YT,CAN,"6' 3""",195,TRUE,FALSE,FALSE,FALSE,Y,Buffalo Sabres,Center,-135.0522761,60.7197137
Jack Quinn,22,2001-09-19,21,Ottawa,ON,CAN,"6' 1""",185,TRUE,FALSE,FALSE,TRUE,Y,Buffalo Sabres,Right Wing,-75.69719310000000,45.4215296
JJ Peterka,77,2002-01-14,21,Munich,,DEU,"6' 0""",189,TRUE,FALSE,FALSE,TRUE,Y,Buffalo Sabres,Right Wing,11.5819806,48.1351253
Devon Levi,27,2001-12-27,21,Dollard-des-Ormeaux,QC,CAN,"6' 0""",184,TRUE,FALSE,FALSE,TRUE,Y,Buffalo Sabres,Goalie,-73.8205567,45.4895636
Owen Power,25,2002-11-22,20,Mississauga,ON,CAN,"6' 6""",218,TRUE,FALSE,FALSE,TRUE,Y,Buffalo Sabres,Defenseman,-79.6441198,43.5890452
Sean Monahan,91,1994-10-12,28,Brampton,ON,CAN,"6' 2""",196,TRUE,FALSE,FALSE,FALSE,I,Montréal Canadiens,Center,-79.7624177,43.7315479
Cole Caufield,22,2001-01-02,22,Mosinee,WI,USA,"5' 7""",174,TRUE,FALSE,FALSE,FALSE,I,Montréal Canadiens,Right Wing,-89.70317840000000,44.7930232
Arber Xhekaj,72,2001-01-30,22,Hamilton,ON,CAN,"6' 4""",238,TRUE,FALSE,FALSE,TRUE,I,Montréal Canadiens,Defenseman,-79.8711024,43.2557206
Juraj Slafkovsky,20,2004-03-30,19,Kosice,,SVK,"6' 3""",238,TRUE,FALSE,FALSE,TRUE,I,Montréal Canadiens,Left Wing,21.2610746,48.7163857
Jake Allen,34,1990-08-07,32,Fredericton,NB,CAN,"6' 2""",195,TRUE,FALSE,FALSE,FALSE,Y,Montréal Canadiens,Goalie,-66.6431151,45.9635895
Mike Hoffman,68,1989-11-24,33,Kitchener,ON,CAN,"6' 0""",190,TRUE,FALSE,FALSE,FALSE,Y,Montréal Canadiens,Left Wing,-80.4925337,43.4516395
Chris Wideman,6,1990-01-07,33,St. Louis,MO,USA,"5' 10""",181,TRUE,FALSE,FALSE,FALSE,Y,Montréal Canadiens,Defenseman,-90.19940420000000,38.6270025
David Savard,58,1990-10-22,32,St-Hyacinthe,QC,CAN,"6' 1""",235,TRUE,FALSE,FALSE,FALSE,Y,Montréal Canadiens,Defenseman,-72.9563391,45.6306875
Brendan Gallagher,11,1992-05-06,31,Edmonton,AB,CAN,"5' 9""",186,TRUE,TRUE,FALSE,FALSE,Y,Montréal Canadiens,Right Wing,-113.4937266,53.5460983
Joel Armia,40,1993-05-31,30,Pori,,FIN,"6' 3""",216,TRUE,FALSE,FALSE,FALSE,Y,Montréal Canadiens,Right Wing,21.7974178,61.4851393
Mike Matheson,8,1994-02-27,29,Pointe-Claire,QC,CAN,"6' 2""",193,TRUE,FALSE,FALSE,FALSE,Y,Montréal Canadiens,Defenseman,-73.7990191,45.4719655
Josh Anderson,17,1994-05-07,29,Burlington,ON,CAN,"6' 3""",218,TRUE,FALSE,FALSE,FALSE,Y,Montréal Canadiens,Right Wing,-79.7990319,43.3255196
Christian Dvorak,28,1996-02-02,27,Palos,IL,USA,"6' 1""",193,TRUE,FALSE,FALSE,FALSE,Y,Montréal Canadiens,Center,-87.8173687,41.7040235
Jake Evans,71,1996-06-02,27,Toronto,ON,CAN,"6' 0""",186,TRUE,FALSE,FALSE,FALSE,Y,Montréal Canadiens,Center,-79.3831843,43.653226
